country	year	pop	continent	lifeExp	gdpPercap	Continent_meanlifeExp	minLifeExp	meanlifeexpbyyear
Rwanda	1952	2534927	Africa	40	493.3238752	50.5927923390684	23.599	38.7997279750475
Rwanda	1957	2822082	Africa	41.5	540.2893983	50.5927923390684	23.599	40.9403052180766
Rwanda	1962	3051242	Africa	43	597.4730727	50.5927923390684	23.599	43.0992460329128
Rwanda	1967	3451079	Africa	44.1	510.9637142	50.5927923390684	23.599	45.1772077062905
Rwanda	1972	3992121	Africa	44.6	590.5806638	50.5927923390684	23.599	47.2122936521501
Rwanda	1977	4657072	Africa	45	670.0806011	50.5927923390684	23.599	49.2088278705277
Rwanda	1982	5507565	Africa	46.218	881.5706467	50.5927923390684	23.599	51.017435577706
Rwanda	1987	6349365	Africa	44.02	847.991217	50.5927923390684	23.599	52.8247902051933
Rwanda	1992	7290203	Africa	23.599	737.0685949	50.5927923390684	23.599	53.3729182736405
Rwanda	1997	7212583	Africa	36.087	589.9445051	50.5927923390684	23.599	53.2832668246949
Rwanda	2002	7852401	Africa	43.413	785.6537648	50.5927923390684	23.599	53.3031425757613
Rwanda	2007	8860588	Africa	46.242	863.0884639	50.5927923390684	23.599	54.564410575582
Gambia	1952	284320	Africa	30	485.2306591	50.5927923390684	30	38.7997279750475
Gambia	1957	323150	Africa	32.065	520.9267111	50.5927923390684	30	40.9403052180766
Gambia	1962	374020	Africa	33.896	599.650276	50.5927923390684	30	43.0992460329128
Gambia	1967	439593	Africa	35.857	734.7829124	50.5927923390684	30	45.1772077062905
Gambia	1972	517101	Africa	38.308	756.0868363	50.5927923390684	30	47.2122936521501
Gambia	1977	608274	Africa	41.842	884.7552507	50.5927923390684	30	49.2088278705277
Gambia	1982	715523	Africa	45.58	835.8096108	50.5927923390684	30	51.017435577706
Gambia	1987	848406	Africa	49.265	611.6588611	50.5927923390684	30	52.8247902051933
Gambia	1992	1025384	Africa	52.644	665.6244126	50.5927923390684	30	53.3729182736405
Gambia	1997	1235767	Africa	55.861	653.7301704	50.5927923390684	30	53.2832668246949
Gambia	2002	1457766	Africa	58.041	660.5855997	50.5927923390684	30	53.3031425757613
Gambia	2007	1688359	Africa	59.448	752.7497265	50.5927923390684	30	54.564410575582
Angola	1952	4232095	Africa	30.015	3520.610273	50.5927923390684	30.015	38.7997279750475
Angola	1957	4561361	Africa	31.999	3827.940465	50.5927923390684	30.015	40.9403052180766
Angola	1962	4826015	Africa	34	4269.276742	50.5927923390684	30.015	43.0992460329128
Angola	1967	5247469	Africa	35.985	5522.776375	50.5927923390684	30.015	45.1772077062905
Angola	1972	5894858	Africa	37.928	5473.288005	50.5927923390684	30.015	47.2122936521501
Angola	1977	6162675	Africa	39.483	3008.647355	50.5927923390684	30.015	49.2088278705277
Angola	1982	7016384	Africa	39.942	2756.953672	50.5927923390684	30.015	51.017435577706
Angola	1987	7874230	Africa	39.906	2430.208311	50.5927923390684	30.015	52.8247902051933
Angola	1992	8735988	Africa	40.647	2627.845685	50.5927923390684	30.015	53.3729182736405
Angola	1997	9875024	Africa	40.963	2277.140884	50.5927923390684	30.015	53.2832668246949
Angola	2002	10866106	Africa	41.003	2773.287312	50.5927923390684	30.015	53.3031425757613
Angola	2007	12420476	Africa	42.731	4797.231267	50.5927923390684	30.015	54.564410575582
Sierra Leone	1952	2143249	Africa	30.331	879.7877358	50.5927923390684	30.331	38.7997279750475
Sierra Leone	1957	2295678	Africa	31.57	1004.484437	50.5927923390684	30.331	40.9403052180766
Sierra Leone	1962	2467895	Africa	32.767	1116.639877	50.5927923390684	30.331	43.0992460329128
Sierra Leone	1967	2662190	Africa	34.113	1206.043465	50.5927923390684	30.331	45.1772077062905
Sierra Leone	1972	2879013	Africa	35.4	1353.759762	50.5927923390684	30.331	47.2122936521501
Sierra Leone	1977	3140897	Africa	36.788	1348.285159	50.5927923390684	30.331	49.2088278705277
Sierra Leone	1982	3464522	Africa	38.445	1465.010784	50.5927923390684	30.331	51.017435577706
Sierra Leone	1987	3868905	Africa	40.006	1294.447788	50.5927923390684	30.331	52.8247902051933
Sierra Leone	1992	4260884	Africa	38.333	1068.696278	50.5927923390684	30.331	53.3729182736405
Sierra Leone	1997	4578212	Africa	39.897	574.6481576	50.5927923390684	30.331	53.2832668246949
Sierra Leone	2002	5359092	Africa	41.012	699.489713	50.5927923390684	30.331	53.3031425757613
Sierra Leone	2007	6144562	Africa	42.568	862.5407561	50.5927923390684	30.331	54.564410575582
Mozambique	1952	6446316	Africa	31.286	468.5260381	50.5927923390684	31.286	38.7997279750475
Mozambique	1957	7038035	Africa	33.779	495.5868333	50.5927923390684	31.286	40.9403052180766
Mozambique	1962	7788944	Africa	36.161	556.6863539	50.5927923390684	31.286	43.0992460329128
Mozambique	1967	8680909	Africa	38.113	566.6691539	50.5927923390684	31.286	45.1772077062905
Mozambique	1972	9809596	Africa	40.328	724.9178037	50.5927923390684	31.286	47.2122936521501
Mozambique	1977	11127868	Africa	42.495	502.3197334	50.5927923390684	31.286	49.2088278705277
Mozambique	1982	12587223	Africa	42.795	462.2114149	50.5927923390684	31.286	51.017435577706
Mozambique	1987	12891952	Africa	42.861	389.8761846	50.5927923390684	31.286	52.8247902051933
Mozambique	1992	13160731	Africa	44.284	410.8968239	50.5927923390684	31.286	53.3729182736405
Mozambique	1997	16603334	Africa	46.344	472.3460771	50.5927923390684	31.286	53.2832668246949
Mozambique	2002	18473780	Africa	44.026	633.6179466	50.5927923390684	31.286	53.3031425757613
Mozambique	2007	19951656	Africa	42.082	823.6856205	50.5927923390684	31.286	54.564410575582
Burkina Faso	1952	4469979	Africa	31.975	543.2552413	50.5927923390684	31.975	38.7997279750475
Burkina Faso	1957	4713416	Africa	34.906	617.1834648	50.5927923390684	31.975	40.9403052180766
Burkina Faso	1962	4919632	Africa	37.814	722.5120206	50.5927923390684	31.975	43.0992460329128
Burkina Faso	1967	5127935	Africa	40.697	794.8265597	50.5927923390684	31.975	45.1772077062905
Burkina Faso	1972	5433886	Africa	43.591	854.7359763	50.5927923390684	31.975	47.2122936521501
Burkina Faso	1977	5889574	Africa	46.137	743.3870368	50.5927923390684	31.975	49.2088278705277
Burkina Faso	1982	6634596	Africa	48.122	807.1985855	50.5927923390684	31.975	51.017435577706
Burkina Faso	1987	7586551	Africa	49.557	912.0631417	50.5927923390684	31.975	52.8247902051933
Burkina Faso	1992	8878303	Africa	50.26	931.7527731	50.5927923390684	31.975	53.3729182736405
Burkina Faso	1997	10352843	Africa	50.324	946.2949618	50.5927923390684	31.975	53.2832668246949
Burkina Faso	2002	12251209	Africa	50.65	1037.645221	50.5927923390684	31.975	53.3031425757613
Burkina Faso	2007	14326203	Africa	52.295	1217.032994	50.5927923390684	31.975	54.564410575582
Guinea-Bissau	1952	580653	Africa	32.5	299.850319	50.5927923390684	32.5	38.7997279750475
Guinea-Bissau	1957	601095	Africa	33.489	431.7904566	50.5927923390684	32.5	40.9403052180766
Guinea-Bissau	1962	627820	Africa	34.488	522.0343725	50.5927923390684	32.5	43.0992460329128
Guinea-Bissau	1967	601287	Africa	35.492	715.5806402	50.5927923390684	32.5	45.1772077062905
Guinea-Bissau	1972	625361	Africa	36.486	820.2245876	50.5927923390684	32.5	47.2122936521501
